,ET,P,wy,sumP,D
2000-10-31,39.92,164.58900451660156,2001,164.58900451660156,0.0
2000-11-30,16.72,88.08799743652344,2001,252.677001953125,0.0
2000-12-31,18.0,104.02100372314453,2001,356.69800567626953,0.0
2001-01-31,18.72,205.7480010986328,2001,562.4460067749023,0.0
2001-02-28,25.68,314.3550109863281,2001,876.8010177612305,0.0
2001-03-31,48.64,121.052001953125,2001,997.8530197143555,0.0
2001-04-30,43.84,62.15299987792969,2001,1060.0060195922852,0.0
2001-05-31,81.68,2.2039999961853027,2001,1062.2100195884705,79.4760000038147
2001-06-30,71.36,42.22700119018555,2001,1104.437020778656,108.60899881362916
2001-07-31,52.24,0.0,2001,1104.437020778656,160.84899881362915
2001-08-31,32.56,3.174999952316284,2001,1107.6120207309723,190.23399886131287
2001-09-30,31.12,3.125999927520752,2001,1110.738020658493,218.22799893379212
2001-10-31,26.400000000000002,57.56399917602539,2002,57.56399917602539,187.06399975776674
2001-11-30,18.96,425.5159912109375,2002,483.0799903869629,0.0
2001-12-31,13.360000000000001,630.1099853515625,2002,1113.1899757385254,0.0
2002-01-31,17.92,403.1809997558594,2002,1516.3709754943848,0.0
2002-02-28,32.72,232.5019989013672,2002,1748.872974395752,0.0
2002-03-31,50.08,131.8179931640625,2002,1880.6909675598145,0.0
2002-04-30,46.08,40.72800064086914,2002,1921.4189682006836,5.351999359130858
2002-05-31,76.24,51.26300048828125,2002,1972.6819686889648,30.328998870849603
2002-06-30,73.76,0.0,2002,1972.6819686889648,104.08899887084961
2002-07-31,46.56,0.0,2002,1972.6819686889648,150.6489988708496
2002-08-31,37.52,0.0,2002,1972.6819686889648,188.1689988708496
2002-09-30,29.2,0.0,2002,1972.6819686889648,217.3689988708496
2002-10-31,15.68,0.6000000238418579,2003,0.6000000238418579,232.44899884700774
2002-11-30,22.96,168.1739959716797,2003,168.77399599552155,87.23500287532806
2002-12-31,19.52,1208.2359619140625,2003,1377.009957909584,0.0
2003-01-31,16.4,372.7590026855469,2003,1749.768960595131,0.0
2003-02-28,32.32,145.3679962158203,2003,1895.1369568109512,0.0
2003-03-31,46.32,202.07699584960938,2003,2097.2139526605606,0.0
2003-04-30,43.36,414.7019958496094,2003,2511.91594851017,0.0
2003-05-31,73.03999999999999,29.06100082397461,2003,2540.9769493341446,43.97899917602538
2003-06-30,63.120000000000005,0.0,2003,2540.9769493341446,107.09899917602539
2003-07-31,51.120000000000005,0.003000000026077032,2003,2540.9799493341707,158.21599917599931
2003-08-31,45.2,1.8070000410079956,2003,2542.7869493751787,201.60899913499134
2003-09-30,34.480000000000004,7.859000205993652,2003,2550.6459495811723,228.2299989289977
2003-10-31,16.880000000000003,1.3380000591278076,2004,1.3380000591278076,243.7719988698699
2003-11-30,19.04,199.08200073242188,2004,200.42000079154968,63.72999813744801
2003-12-31,14.56,711.6439819335938,2004,912.0639827251434,0.0
2004-01-31,13.84,312.9599914550781,2004,1225.0239741802216,0.0
2004-02-29,29.360000000000003,439.86700439453125,2004,1664.8909785747528,0.0
