,ET,P,wy,sumP,D
2000-10-31,46.480000000000004,132.81100463867188,2001,132.81100463867188,0.0
2000-11-30,18.16,43.768001556396484,2001,176.57900619506836,0.0
2000-12-31,16.32,61.03099822998047,2001,237.61000442504883,0.0
2001-01-31,20.0,137.843994140625,2001,375.4539985656738,0.0
2001-02-28,31.12,187.85699462890625,2001,563.3109931945801,0.0
2001-03-31,58.48,79.19400024414062,2001,642.5049934387207,0.0
2001-04-30,56.400000000000006,101.51799774169922,2001,744.0229911804199,0.0
2001-05-31,101.92,0.0,2001,744.0229911804199,101.92
2001-06-30,93.68,4.267000198364258,2001,748.2899913787842,191.33299980163576
2001-07-31,89.36,0.0,2001,748.2899913787842,280.6929998016358
2001-08-31,74.96000000000001,0.0,2001,748.2899913787842,355.6529998016358
2001-09-30,59.519999999999996,10.656000137329102,2001,758.9459915161133,404.5169996643067
2001-10-31,34.08,40.27199935913086,2002,40.27199935913086,398.3250003051758
2001-11-30,24.96,184.6280059814453,2002,224.90000534057617,238.65699432373052
2001-12-31,17.52,307.1419982910156,2002,532.0420036315918,0.0
2002-01-31,15.6,114.30599975585938,2002,646.3480033874512,0.0
2002-02-28,35.36,126.33899688720703,2002,772.6870002746582,0.0
2002-03-31,54.8,216.9600067138672,2002,989.6470069885254,0.0
2002-04-30,53.28,36.56999969482422,2002,1026.2170066833496,16.710000305175782
2002-05-31,94.8,56.479000091552734,2002,1082.6960067749023,55.031000213623045
2002-06-30,108.8,0.0,2002,1082.6960067749023,163.83100021362304
2002-07-31,92.16,0.0,2002,1082.6960067749023,255.99100021362304
2002-08-31,76.64,0.0,2002,1082.6960067749023,332.63100021362305
2002-09-30,53.92,0.0,2002,1082.6960067749023,386.55100021362307
2002-10-31,24.16,0.0,2003,0.0,410.7110002136231
2002-11-30,33.36,122.6989974975586,2003,122.6989974975586,321.3720027160645
2002-12-31,18.72,410.3710021972656,2003,533.0699996948242,0.0
2003-01-31,24.64,83.37200164794922,2003,616.4420013427734,0.0
2003-02-28,32.4,61.902000427246094,2003,678.3440017700195,0.0
2003-03-31,55.92,148.01499938964844,2003,826.359001159668,0.0
2003-04-30,44.8,211.46400451660156,2003,1037.8230056762695,0.0
2003-05-31,94.80000000000001,49.736000061035156,2003,1087.5590057373047,45.063999938964855
2003-06-30,95.36,0.0,2003,1087.5590057373047,140.42399993896487
2003-07-31,99.84,0.0,2003,1087.5590057373047,240.26399993896487
2003-08-31,88.96000000000001,30.836999893188477,2003,1118.3960056304932,298.3870000457764
2003-09-30,58.879999999999995,0.38100001215934753,2003,1118.7770056426525,356.88600003361705
2003-10-31,26.880000000000003,5.34499979019165,2004,5.34499979019165,378.4210002434254
2003-11-30,22.16,111.44000244140625,2004,116.7850022315979,289.1409978020191
2003-12-31,18.4,325.6990051269531,2004,442.484007358551,0.0
2004-01-31,18.32,120.76499938964844,2004,563.2490067481995,0.0
2004-02-29,28.56,288.6719970703125,2004,851.921003818512,0.0
2004-03-31,64.96,31.344999313354492,2004,883.2660031318665,33.6150006866455
2004-04-30,82.24000000000001,22.132999420166016,2004,905.3990025520325,93.7220012664795
2004-05-31,68.72,10.277999877929688,2004,915.6770024299622,152.16400138854982
2004-06-30,103.52000000000001,0.0,2004,915.6770024299622,255.68400138854983
2004-07-31,90.32,0.0,2004,915.6770024299622,346.0040013885498
2004-08-31,67.36,0.0,2004,915.6770024299622,413.3640013885498
2004-09-30,46.4,7.6570000648498535,2004,923.334002494812,452.10700132369993
2004-10-31,36.64,164.16000366210938,2005,164.16000366210938,324.58699766159054
2004-11-30,18.240000000000002,113.9520034790039,2005,278.1120071411133,228.87499418258665
2004-12-31,16.880000000000003,200.2220001220703,2005,478.3340072631836,45.53299406051633
2005-01-31,20.32,231.28900146484375,2005,709.6230087280273,0.0
2005-02-28,35.519999999999996,129.8090057373047,2005,839.432014465332,0.0
2005-03-31,59.36,201.83700561523438,2005,1041.2690200805664,0.0
2005-04-30,57.2,76.4469985961914,2005,1117.7160186767578,0.0
2005-05-31,94.72,185.27499389648438,2005,1302.9910125732422,0.0
2005-06-30,98.0,47.96699905395508,2005,1350.9580116271973,50.03300094604492
2005-07-31,77.6,0.0,2005,1350.9580116271973,127.63300094604492
2005-08-31,56.56,0.0,2005,1350.9580116271973,184.19300094604492
2005-09-30,43.84,9.010000228881836,2005,1359.968011856079,219.0230007171631
2005-10-31,26.560000000000002,26.69099998474121,2006,26.69099998474121,218.89200073242188
2005-11-30,23.52,81.64299774169922,2006,108.33399772644043,160.76900299072264
2005-12-31,15.68,478.05499267578125,2006,586.3889904022217,0.0
2006-01-31,18.0,201.593994140625,2006,787.9829845428467,0.0
2006-02-28,35.92,143.30799865722656,2006,931.2909832000732,0.0
2006-03-31,42.08,265.30499267578125,2006,1196.5959758758545,0.0
2006-04-30,53.040000000000006,260.1109924316406,2006,1456.7069683074951,0.0
2006-05-31,94.96000000000001,38.516998291015625,2006,1495.2239665985107,56.44300170898438
2006-06-30,99.44,0.0,2006,1495.2239665985107,155.88300170898438
2006-07-31,86.88,0.0,2006,1495.2239665985107,242.76300170898438
