,ET,P,wy,sumP,D
2000-10-31,37.52,108.79000091552734,2001,108.79000091552734,0.0
2000-11-30,21.04,7.2270002365112305,2001,116.01700115203857,13.812999763488769
2000-12-31,26.240000000000002,5.427999973297119,2001,121.4450011253357,34.62499979019165
2001-01-31,28.48,209.83700561523438,2001,331.28200674057007,0.0
2001-02-28,40.08,216.83700561523438,2001,548.1190123558044,0.0
2001-03-31,54.32,108.36399841308594,2001,656.4830107688904,0.0
2001-04-30,48.08,69.67400360107422,2001,726.1570143699646,0.0
2001-05-31,75.28,0.0,2001,726.1570143699646,75.28
2001-06-30,77.92,0.0,2001,726.1570143699646,153.2
2001-07-31,52.24,0.1420000046491623,2001,726.2990143746138,205.29799999535084
2001-08-31,48.8,0.0,2001,726.2990143746138,254.09799999535085
2001-09-30,32.88,1.5049999952316284,2001,727.8040143698454,285.4730000001192
2001-10-31,23.6,43.625,2002,43.625,265.44800000011924
2001-11-30,29.28,171.70199584960938,2002,215.32699584960938,123.02600415050986
2001-12-31,24.16,210.27699279785156,2002,425.60398864746094,0.0
2002-01-31,29.52,58.52000045776367,2002,484.1239891052246,0.0
2002-02-28,34.0,55.03200149536133,2002,539.1559906005859,0.0
2002-03-31,53.760000000000005,74.20700073242188,2002,613.3629913330078,0.0
2002-04-30,38.88,16.95199966430664,2002,630.3149909973145,21.928000335693362
2002-05-31,64.32000000000001,16.836999893188477,2002,647.1519908905029,69.4110004425049
2002-06-30,69.44,0.0,2002,647.1519908905029,138.8510004425049
2002-07-31,57.44,0.0,2002,647.1519908905029,196.2910004425049
2002-08-31,47.2,0.0,2002,647.1519908905029,243.4910004425049
2002-09-30,36.4,0.2529999911785126,2002,647.4049908816814,279.6380004513264
2002-10-31,14.64,0.0,2003,0.0,294.27800045132636
2002-11-30,37.6,182.56500244140625,2003,182.56500244140625,149.3129980099201
2002-12-31,23.36,245.89599609375,2003,428.46099853515625,0.0
2003-01-31,31.04,49.5099983215332,2003,477.97099685668945,0.0
2003-02-28,36.32,117.5999984741211,2003,595.5709953308105,0.0
2003-03-31,57.28,68.53800201416016,2003,664.1089973449707,0.0
2003-04-30,46.800000000000004,74.77899932861328,2003,738.887996673584,0.0
2003-05-31,73.92,45.624000549316406,2003,784.5119972229004,28.295999450683595
2003-06-30,59.44,0.0,2003,784.5119972229004,87.7359994506836
2003-07-31,60.800000000000004,0.0,2003,784.5119972229004,148.5359994506836
2003-08-31,56.08,0.47099998593330383,2003,784.9829972088337,204.1449994647503
2003-09-30,40.8,0.0,2003,784.9829972088337,244.9449994647503
2003-10-31,20.16,0.0,2004,0.0,265.10499946475034
2003-11-30,26.080000000000002,39.446998596191406,2004,39.446998596191406,251.73800086855894
2003-12-31,24.96,249.7830047607422,2004,289.2300033569336,26.914996107816762
2004-01-31,26.8,48.722999572753906,2004,337.9530029296875,4.991996535062857
2004-02-29,34.32,165.44400024414062,2004,503.3970031738281,0.0
2004-03-31,53.760000000000005,21.089000701904297,2004,524.4860038757324,32.67099929809571
2004-04-30,56.56,0.0,2004,524.4860038757324,89.23099929809571
2004-05-31,43.6,0.0,2004,524.4860038757324,132.83099929809572
2004-06-30,57.44,0.0,2004,524.4860038757324,190.27099929809572
2004-07-31,45.6,0.0,2004,524.4860038757324,235.8709992980957
2004-08-31,44.0,0.0,2004,524.4860038757324,279.87099929809574
2004-09-30,37.36,0.0,2004,524.4860038757324,317.23099929809575
2004-10-31,38.56,159.6540069580078,2005,159.6540069580078,196.13699234008794
2004-11-30,25.28,53.27000045776367,2005,212.92400741577148,168.14699188232427
2004-12-31,24.880000000000003,297.52398681640625,2005,510.44799423217773,0.0
2005-01-31,30.560000000000002,182.4409942626953,2005,692.888988494873,0.0
2005-02-28,36.64,192.5850067138672,2005,885.4739952087402,0.0
2005-03-31,54.56,148.76199340820312,2005,1034.2359886169434,0.0
2005-04-30,51.440000000000005,40.637001037597656,2005,1074.872989654541,10.802998962402349
2005-05-31,76.32,30.48200035095215,2005,1105.3549900054932,56.64099861145019
2005-06-30,74.16,0.9190000295639038,2005,1106.273990035057,129.88199858188628
2005-07-31,62.0,0.0,2005,1106.273990035057,191.88199858188628
2005-08-31,52.0,0.7200000286102295,2005,1106.9939900636673,243.16199855327605
2005-09-30,40.4,0.0,2005,1106.9939900636673,283.56199855327606
2005-10-31,20.96,1.128999948501587,2006,1.128999948501587,303.39299860477445
2005-11-30,30.560000000000002,38.75199890136719,2006,39.880998849868774,295.20099970340726
2005-12-31,24.4,183.70599365234375,2006,223.58699250221252,135.89500605106352
2006-01-31,29.84,173.87100219726562,2006,397.45799469947815,0.0
2006-02-28,26.240000000000002,64.69200134277344,2006,462.1499960422516,0.0
2006-03-31,50.480000000000004,184.3350067138672,2006,646.4850027561188,0.0
2006-04-30,41.04,158.9219970703125,2006,805.4069998264313,0.0
2006-05-31,78.72,52.025001525878906,2006,857.4320013523102,26.694998474121093
2006-06-30,78.32000000000001,0.0,2006,857.4320013523102,105.0149984741211
2006-07-31,77.2,0.9259999990463257,2006,858.3580013513565,181.28899847507478
2006-08-31,56.0,0.0,2006,858.3580013513565,237.28899847507478
2006-09-30,42.160000000000004,0.0,2006,858.3580013513565,279.4489984750748
2006-10-31,28.48,9.293999671936035,2007,9.293999671936035,298.6349988031388
2006-11-30,26.96,24.395999908447266,2007,33.6899995803833,301.1989988946915
2006-12-31,24.48,89.73400115966797,2007,123.42400074005127,235.94499773502355
2007-01-31,29.76,27.304000854492188,2007,150.72800159454346,238.40099688053135
2007-02-28,38.8,124.84300231933594,2007,275.5710039138794,152.35799456119543
2007-03-31,51.52,6.498000144958496,2007,282.0690040588379,197.37999441623694
2007-04-30,50.48,28.163999557495117,2007,310.233003616333,219.6959948587418
2007-05-31,63.84,0.6480000019073486,2007,310.88100361824036,282.88799485683444
2007-06-30,72.48,0.0,2007,310.88100361824036,355.36799485683446
2007-07-31,65.03999999999999,0.0,2007,310.88100361824036,420.4079948568344
2007-08-31,58.56,2.515000104904175,2007,313.39600372314453,476.45299475193025
2007-09-30,44.32,11.682999610900879,2007,325.0790033340454,509.08999514102936
2007-10-31,29.04,38.316001892089844,2008,38.316001892089844,499.81399324893954
2007-11-30,21.6,3.1510000228881836,2008,41.46700191497803,518.2629932260513
2007-12-31,25.6,99.80400085449219,2008,141.27100276947021,444.05899237155916
2008-01-31,24.08,352.0539855957031,2008,493.32498836517334,116.08500677585602
2008-02-29,36.96,123.61699676513672,2008,616.9419851303101,29.428010010719305
2008-03-31,52.88,2.0820000171661377,2008,619.0239851474762,80.22600999355316
2008-04-30,58.4,25.76099967956543,2008,644.7849848270416,112.86501031398774
2008-05-31,49.04,0.18000000715255737,2008,644.9649848341942,161.72501030683517
2008-06-30,77.52000000000001,0.0,2008,644.9649848341942,239.24501030683518
2008-07-31,72.64,0.0,2008,644.9649848341942,311.88501030683517
2008-08-31,58.8,0.0,2008,644.9649848341942,370.6850103068352
2008-09-30,39.76,0.0,2008,644.9649848341942,410.4450103068352
2008-10-31,28.880000000000003,7.989999771118164,2009,7.989999771118164,431.335010535717
2008-11-30,20.240000000000002,37.882999420166016,2009,45.87299919128418,413.692011115551
2008-12-31,19.68,72.1259994506836,2009,117.99899864196777,361.2460116648674
2009-01-31,26.16,76.51399993896484,2009,194.51299858093262,310.89201172590253
2009-02-28,36.24,189.9409942626953,2009,384.45399284362793,157.19101746320723
2009-03-31,49.84,84.58499908447266,2009,469.0389919281006,122.44601837873458
2009-04-30,38.72,12.862000465393066,2009,481.90099239349365,148.3040179133415
2009-05-31,78.16,13.847999572753906,2009,495.74899196624756,212.6160183405876
2009-06-30,74.32,0.4909999966621399,2009,496.2399919629097,286.4450183439254
2009-07-31,70.88,0.0,2009,496.2399919629097,357.3250183439254
2009-08-31,57.6,0.0,2009,496.2399919629097,414.92501834392544
2009-09-30,41.92,1.75600004196167,2009,497.99599200487137,455.0890183019638
2009-10-31,35.36,160.68099975585938,2010,160.68099975585938,329.76801854610443
2009-11-30,29.76,4.546999931335449,2010,165.22799968719482,354.98101861476897
