,ET,P,wy,sumP,D
2000-10-31,45.6,102.76000213623047,2001,102.76000213623047,0.0
2000-11-30,14.079999999999998,11.376999855041504,2001,114.13700199127197,2.7030001449584944
2000-12-31,20.080000000000002,13.468999862670898,2001,127.60600185394287,9.314000282287598
2001-01-31,19.12,144.59100341796875,2001,272.1970052719116,0.0
2001-02-28,23.6,148.81399536132812,2001,421.01100063323975,0.0
2001-03-31,42.64,68.53299713134766,2001,489.5439977645874,0.0
2001-04-30,45.2,114.3239974975586,2001,603.867995262146,0.0
2001-05-31,99.68,0.0,2001,603.867995262146,99.68
2001-06-30,103.76,0.0,2001,603.867995262146,203.44
2001-07-31,103.76,9.340999603271484,2001,613.2089948654175,297.8590003967285
2001-08-31,95.28,0.0,2001,613.2089948654175,393.13900039672853
2001-09-30,76.16,0.0,2001,613.2089948654175,469.2990003967285
2001-10-31,43.84,28.30299949645996,2002,28.30299949645996,484.8360009002686
2001-11-30,31.76,120.59200286865234,2002,148.8950023651123,396.0039980316162
2001-12-31,15.36,212.1649932861328,2002,361.0599956512451,199.19900474548342
2002-01-31,15.84,72.0719985961914,2002,433.1319942474365,142.96700614929202
2002-02-28,36.160000000000004,35.71900177001953,2002,468.85099601745605,143.40800437927248
2002-03-31,52.32,91.65599822998047,2002,560.5069942474365,104.07200614929201
2002-04-30,48.24,34.96500015258789,2002,595.4719944000244,117.34700599670413
2002-05-31,87.68,37.566001892089844,2002,633.0379962921143,167.4610041046143
2002-06-30,103.52,2.2119998931884766,2002,635.2499961853027,268.7690042114258
2002-07-31,102.56,0.0,2002,635.2499961853027,371.3290042114258
2002-08-31,95.28,0.0,2002,635.2499961853027,466.6090042114258
2002-09-30,73.6,0.6809999942779541,2002,635.9309961795807,539.5280042171479
2002-10-31,37.12,3.0950000286102295,2003,3.0950000286102295,573.5530041885377
2002-11-30,34.96,159.36000061035156,2003,162.4550006389618,449.15300357818614
2002-12-31,17.52,183.28599548339844,2003,345.74099612236023,283.3870080947877
2003-01-31,26.240000000000002,16.152999877929688,2003,361.8939960002899,293.474008216858
2003-02-28,27.6,94.97599792480469,2003,456.8699939250946,226.09801029205332
2003-03-31,48.32,69.5739974975586,2003,526.4439914226532,204.84401279449472
2003-04-30,40.56,142.53799438476562,2003,668.9819858074188,102.8660184097291
2003-05-31,94.64,64.98100280761719,2003,733.962988615036,132.52501560211192
2003-06-30,101.92,0.0,2003,733.962988615036,234.44501560211194
2003-07-31,104.48,1.9170000553131104,2003,735.8799886703491,337.00801554679884
2003-08-31,109.04,13.505000114440918,2003,749.38498878479,432.54301543235795
2003-09-30,84.8,0.02800000086426735,2003,749.4129887856543,517.3150154314936
2003-10-31,49.120000000000005,1.2660000324249268,2004,1.2660000324249268,565.1690153990687
2003-11-30,31.28,49.722999572753906,2004,50.98899960517883,546.7260158263148
2003-12-31,16.8,194.94400024414062,2004,245.93299984931946,368.58201558217417
2004-01-31,19.36,57.1870002746582,2004,303.12000012397766,330.755015307516
2004-02-29,25.52,152.45599365234375,2004,455.5759937763214,203.8190216551722
2004-03-31,65.84,31.37700080871582,2004,486.95299458503723,238.2820208464564
2004-04-30,76.4,7.704999923706055,2004,494.6579945087433,306.97702092275034
2004-05-31,62.24,7.355999946594238,2004,502.0139944553375,361.8610209761561
2004-06-30,97.36,0.0,2004,502.0139944553375,459.2210209761561
2004-07-31,98.8,0.0,2004,502.0139944553375,558.0210209761561
2004-08-31,81.36,0.0,2004,502.0139944553375,639.3810209761562
2004-09-30,66.96000000000001,1.121000051498413,2004,503.13499450683594,705.2200209246578
2004-10-31,37.6,159.7310028076172,2005,159.7310028076172,583.0890181170406
2004-11-30,18.240000000000002,42.130001068115234,2005,201.86100387573242,559.1990170489254
2004-12-31,19.84,139.91200256347656,2005,341.773006439209,439.12701448544885
2005-01-31,21.76,250.52000427246094,2005,592.2930107116699,210.3670102129879
2005-02-28,29.6,129.01600646972656,2005,721.3090171813965,110.95100374326134
2005-03-31,50.88,171.38499450683594,2005,892.6940116882324,0.0
2005-04-30,48.72,52.000999450683594,2005,944.695011138916,0.0
2005-05-31,94.56,109.47000122070312,2005,1054.1650123596191,0.0
2005-06-30,103.28,0.14300000667572021,2005,1054.3080123662949,103.13699999332428
2005-07-31,108.32000000000001,0.0,2005,1054.3080123662949,211.4569999933243
2005-08-31,95.6,0.2800000011920929,2005,1054.588012367487,306.77699999213223
2005-09-30,73.92,5.00600004196167,2005,1059.5940124094486,375.6909999501706
2005-10-31,43.84,12.786999702453613,2006,12.786999702453613,406.74400024771694
2005-11-30,39.6,14.854000091552734,2006,27.640999794006348,431.49000015616423
2005-12-31,22.8,173.0970001220703,2006,200.73799991607666,281.1930000340939
2006-01-31,23.04,221.0240020751953,2006,421.762001991272,83.2089979588986
2006-02-28,28.48,70.03299713134766,2006,491.79499912261963,41.656000827550955
2006-03-31,35.84,239.82899475097656,2006,731.6239938735962,0.0
2006-04-30,43.28,258.1210021972656,2006,989.7449960708618,0.0
2006-05-31,92.96000000000001,28.989999771118164,2006,1018.73499584198,63.970000228881844
2006-06-30,111.84,0.0,2006,1018.73499584198,175.81000022888185
2006-07-31,114.24000000000001,0.00800000037997961,2006,1018.74299584236,290.0420002285019
2006-08-31,97.2,0.0,2006,1018.74299584236,387.24200022850187
2006-09-30,72.8,0.0,2006,1018.74299584236,460.0420002285019
2006-10-31,43.28,7.173999786376953,2007,7.173999786376953,496.14800044212495
2006-11-30,37.52,16.628000259399414,2007,23.802000045776367,517.0400001827255
2006-12-31,25.6,107.3270034790039,2007,131.12900352478027,435.31299670372164
2007-01-31,28.720000000000002,24.302000045776367,2007,155.43100357055664,439.7309966579453
2007-02-28,32.8,150.6280059814453,2007,306.05900955200195,321.9029906765
2007-03-31,58.56,41.834999084472656,2007,347.8940086364746,338.62799159202734
2007-04-30,49.28,28.049999237060547,2007,375.94400787353516,359.85799235496677
2007-05-31,90.48,3.4010000228881836,2007,379.34500789642334,446.9369923320786
2007-06-30,99.76,0.0,2007,379.34500789642334,546.6969923320786
2007-07-31,99.2,0.0,2007,379.34500789642334,645.8969923320786
2007-08-31,88.88000000000001,2.2119998931884766,2007,381.5570077896118,732.5649924388902
2007-09-30,68.96000000000001,5.714000225067139,2007,387.27100801467896,795.810992213823
2007-10-31,44.8,17.93000030517578,2008,17.93000030517578,822.6809919086472
2007-11-30,43.04,4.035999774932861,2008,21.966000080108643,861.6849921337143
2007-12-31,22.16,109.80899810791016,2008,131.7749981880188,774.0359940258041
2008-01-31,19.04,239.30499267578125,2008,371.07999086380005,553.7710013500229
2008-02-29,31.840000000000003,152.61599731445312,2008,523.6959881782532,432.99500403556976
2008-03-31,53.04,14.748000144958496,2008,538.4439883232117,471.2870038906113
2008-04-30,70.4,0.0,2008,538.4439883232117,541.6870038906113
2008-05-31,65.12,35.696998596191406,2008,574.1409869194031,571.1100052944199
2008-06-30,110.24000000000001,0.0,2008,574.1409869194031,681.3500052944199
2008-07-31,106.32000000000001,0.0,2008,574.1409869194031,787.67000529442
2008-08-31,92.64,0.0,2008,574.1409869194031,880.31000529442
2008-09-30,73.6,0.0,2008,574.1409869194031,953.91000529442
2008-10-31,52.8,26.452999114990234,2009,26.452999114990234,980.2570061794297
2008-11-30,27.76,82.11399841308594,2009,108.56699752807617,925.9030077663438
